target,algorithm,split,r2,rmse,mae,selected
delta_drawbar_pull_n,ridge,train,0.8477947285111489,3.939044865037475,2.9882078356485615,False
delta_drawbar_pull_n,ridge,val,0.7533514982924323,4.196418525640209,3.2295433427419806,False
delta_drawbar_pull_n,ridge,test,0.8299611212750014,3.638127806499786,3.00392459859525,False
delta_drawbar_pull_n,random_forest,train,0.965373109783924,1.8788098368697155,1.1660311200350746,False
delta_drawbar_pull_n,random_forest,val,0.8956964908115513,2.7289087561436265,2.0729870868997873,False
delta_drawbar_pull_n,random_forest,test,0.9255911588331325,2.4066675701575657,1.7261523037836874,False
delta_drawbar_pull_n,xgboost,train,0.9999649820515443,0.0597477327719483,0.04516884280245366,True
delta_drawbar_pull_n,xgboost,val,0.9420856698701563,2.0334456707818704,1.5408530215784817,True
delta_drawbar_pull_n,xgboost,test,0.965076996934433,1.6487682907121843,1.166920060312357,True
delta_torque_nm,ridge,train,0.7044557467346408,0.5273497592071094,0.40186351997745023,False
delta_torque_nm,ridge,val,0.7044952408915768,0.5179173255002636,0.38727238456524987,False
delta_torque_nm,ridge,test,0.7307634350777339,0.5848009099195747,0.4340775921307343,False
delta_torque_nm,random_forest,train,0.9525153856234163,0.21138002757420662,0.14094711993760065,False
delta_torque_nm,random_forest,val,0.8703101125211004,0.3431083255070244,0.251103769573168,False
delta_torque_nm,random_forest,test,0.8725338057584586,0.4023819851157232,0.24772401522417334,False
delta_torque_nm,xgboost,train,0.999920680052496,0.008639302912149965,0.00647721764003737,True
delta_torque_nm,xgboost,val,0.9156525963144471,0.2767031219086425,0.19949994945336405,True
delta_torque_nm,xgboost,test,0.9118847525669067,0.3345542503601572,0.21705571826031067,True
delta_sinkage_m,ridge,train,0.693124842097131,0.0018470934362901296,0.0013834555841487708,False
delta_sinkage_m,ridge,val,0.7347985808276699,0.0016449414480769488,0.0013301709204070094,False
delta_sinkage_m,ridge,test,0.7244239048959269,0.0019714788258226603,0.0014362098448983825,False
delta_sinkage_m,random_forest,train,0.9414827838960519,0.0008065844164182508,0.0005200035478595232,False
delta_sinkage_m,random_forest,val,0.9006617219143089,0.001006748139668177,0.0007906708620223875,False
delta_sinkage_m,random_forest,test,0.9059147666347608,0.0011519458891626237,0.0007737206228187313,False
delta_sinkage_m,xgboost,train,0.9864408651632505,0.0003882611962886683,0.00029415477652723274,True
delta_sinkage_m,xgboost,val,0.8983435690881084,0.0010184271084308296,0.0007732967709278628,True
delta_sinkage_m,xgboost,test,0.9127734136843649,0.001109164048317647,0.0007778254065017718,True
delta_drawbar_pull_n,xgboost_refit,test,0.9619525115345944,1.7209443722713256,1.2288697343488932,True
delta_torque_nm,xgboost_refit,test,0.9050500159819442,0.34728695245655306,0.20771664875615778,True
delta_sinkage_m,xgboost_refit,test,0.9293997273275749,0.0009978713075176797,0.0006994077522001346,True
