rover,algorithm,target,predicted,evaluator,abs_error,rel_error,is_primary
Pragyan,xgboost_tuned,range_km,2.3926196098327637,0.5,1.8926196098327637,3.7852392196655273,False
Pragyan,xgboost_tuned,energy_margin_raw_pct,138.4522247314453,100.20342554155582,38.248799189889496,0.3817114932266179,False
Pragyan,xgboost_tuned,slope_capability_deg,3.701812505722046,2.8419808603791825,0.8598316453428634,0.30254659956722685,True
Pragyan,xgboost_tuned,total_mass_kg,22.354936599731445,22.308452404712813,0.04648419501863188,0.0020837032607789402,True
Pragyan,xgboost_tuned,motor_torque_ok,0.9999773502349854,1.0,-2.2649765014648438e-05,,True
Yutu-2,xgboost_tuned,range_km,2.9458506107330322,0.2,2.745850610733032,13.72925305366516,False
Yutu-2,xgboost_tuned,energy_margin_raw_pct,926.0526733398438,649.7887812270878,276.2638921127559,0.425159528902681,False
Yutu-2,xgboost_tuned,slope_capability_deg,20.58453369140625,20.97896300311567,-0.39442931170941975,-0.018801182482224763,True
Yutu-2,xgboost_tuned,total_mass_kg,70.8475341796875,70.4529657566495,0.39456842303799533,0.0056004515750389845,True
Yutu-2,xgboost_tuned,motor_torque_ok,0.9999936819076538,1.0,-6.318092346191406e-06,,True
MoonRanger,xgboost_tuned,range_km,8.838927268981934,2.0,6.838927268981934,3.419463634490967,False
MoonRanger,xgboost_tuned,energy_margin_raw_pct,23.81622314453125,-77.01332414014557,100.82954728467682,-1.3092480867491383,False
MoonRanger,xgboost_tuned,slope_capability_deg,5.012757778167725,4.163570283621842,0.849187494545883,0.2039565653271943,True
MoonRanger,xgboost_tuned,total_mass_kg,25.989473342895508,26.106383511575256,-0.11691016867974824,-0.004478221528765624,True
MoonRanger,xgboost_tuned,motor_torque_ok,0.9999531507492065,1.0,-4.684925079345703e-05,,True
Rashid-1,xgboost_tuned,range_km,3.7178447246551514,1.0,2.7178447246551514,2.7178447246551514,False
Rashid-1,xgboost_tuned,energy_margin_raw_pct,240.72056579589844,158.57421816485925,82.14634763103919,0.5180309168898881,False
Rashid-1,xgboost_tuned,slope_capability_deg,10.578086853027344,10.56986576629577,0.008221086731573735,0.0007777853487778805,True
Rashid-1,xgboost_tuned,total_mass_kg,20.670211791992188,20.59092974263286,0.07928204935932825,0.0038503384912813004,True
Rashid-1,xgboost_tuned,motor_torque_ok,0.9999958276748657,1.0,-4.172325134277344e-06,,True
